base,métrica,camadas,ciclos,taxa_aprendizado,momentum,treinamento,validação,teste,referência
Wine,Acurácia,1,20,0.1,0.5,0.9032257795333862,1.0,0.9444444179534912,
Música,MSE,1,40,0.1,0.0,758.6260986328125,1272.1343994140625,1185.1302490234375,1501.7396240234375
